,var1,var2,corr
3036,ラブラブ/あまあま,精神支配,-0.04309981530004498
7047,つるぺた,メス堕ち,-0.04306890545285083
30744,手コキ,リョナ,-0.04305399644938433
42129,近親もの,男性受け,-0.04305261053511728
55706,フタナリ,コスプレ,-0.04304134261296698
63969,おねショタ,異種えっち,-0.04298530855084062
62161,ぶっかけ,精神支配,-0.04297081855228978
62181,ぶっかけ,女性視点,-0.04292642188847545
40431,パイズリ,陰毛/腋毛,-0.04288789511546048
25095,男性受け,つるぺた,-0.0427683349281444
47322,女性優位,貧乳/微乳,-0.04274677646404296
42123,近親もの,オホ声,-0.04272992233030148
31335,巨乳/爆乳,快楽堕ち,-0.04272467331468007
12435,フェラチオ,乳首責め,-0.04272453418372277
61640,憑依,中出し,-0.04261055037150183
33718,逆レ,アヘ顔,-0.042541985022887224
21091,断面図,クリ責め,-0.04253454425472264
24388,女主人公,ラブラブ/あまあま,-0.04253093561241272
8943,制服,乳首責め,-0.04250416933674981
58355,男の娘,貧乳/微乳,-0.04240110961769054
59113,学生,変身ヒロイン,-0.042290021583842256
47554,女性優位,妊娠/孕ませ,-0.042278457664819434
36264,おっぱい,オホ声,-0.04224279021101133
31925,褐色/日焼け,シリーズもの,-0.04223314158646154
38753,ミリタリー,巨乳/爆乳,-0.04219915731411072
63921,おねショタ,レズ/女同士,-0.04219824603676282
22114,快楽堕ち,学校/学園,-0.04208971772478661
25021,男性受け,回し,-0.0420447570464119
22150,快楽堕ち,断面図,-0.04199411064934777
23787,オホ声,制服,-0.04198029929500437
29376,強気受け,中出し,-0.041944931249950634
19655,屈辱,ラブコメ,-0.04192541122945019
2748,イラマチオ,シリーズもの,-0.041861030610742776
15850,総集編,拘束,-0.04181619639100436
55734,フタナリ,口内射精,-0.04181367006781856
7925,パイパン,人体改造,-0.04180208971118046
12933,処女,女性視点,-0.04176353350971067
23204,中出し,太め/デブ,-0.04173985749744712
32248,おもちゃ,変身ヒロイン,-0.04173461269207871
61896,ほのぼの,アナル,-0.04172790826599801
23105,中出し,耳かき,-0.04172566165273222
4687,拘束,逆転無し,-0.04168627367610648
31064,お尻/ヒップ,トランス/暗示,-0.04167273646621582
3062,ラブラブ/あまあま,機械責め,-0.04158862107832731
31346,巨乳/爆乳,女主人公,-0.04154996923559427
64126,おねショタ,合意なし,-0.04153753745285367
55012,ハーレム,異種えっち,-0.041498470361789545
64000,おねショタ,拘束,-0.04143631896511843
23766,オホ声,セーラー服,-0.041429577617566354
68225,母親,ファンタジー,-0.041417046781712326
50990,逆アナル,おっぱい,-0.041384860027796594
33885,逆レ,中出し,-0.0413755304913575
979,貧乳/微乳,精神支配,-0.04134327988535767
7137,つるぺた,リョナ,-0.04134118643774114
40245,パイズリ,機械責め,-0.041306649190117055
23719,オホ声,異種えっち,-0.04129772310477691
4626,淫語,異種えっち,-0.04129772310477669
27153,ショートカット,触手,-0.041250758525869256
51801,VTuber,アナル,-0.041245102058525274
24433,女主人公,口内射精,-0.04121063707881183
11494,ラブコメ,レズ/女同士,-0.041111729469011385
56438,ギャグ,フェラチオ,-0.041104868237456085
21726,お姉さん,屈辱,-0.041104377154717264
42086,近親もの,クリ責め,-0.041042339975943865
23188,中出し,おもらし,-0.04104105914542042
12058,性転換(TS),口内射精,-0.041038764162884586
25186,男性受け,快楽堕ち,-0.04101474231411551
29601,OL,屈辱,-0.04099216531159749
12483,フェラチオ,ラバー,-0.04097924601445977
12421,フェラチオ,レズ/女同士,-0.040952415334643555
55105,ハーレム,言葉責め,-0.04094232971479012
36519,悪堕ち,潮吹き,-0.04092447980389528
37146,日常/生活,レズ/女同士,-0.04087928929763528
54839,クンニ,男性受け,-0.040878013503422655
9902,青姦,乳首責め,-0.040854620429378596
63953,おねショタ,人体改造,-0.04085417814064486
54648,クンニ,精神支配,-0.040852035948619914
31031,お尻/ヒップ,性転換(TS),-0.040851088289387494
23779,オホ声,パイパン,-0.04084566201102287
44037,複数プレイ/乱交,東方Project,-0.04076116219240679
7082,つるぺた,ゲイ/男同士,-0.04075685795521193
7248,アナル,3D作品,-0.04075685795521178
7062,つるぺた,戦闘エロ,-0.04075685795521168
8937,制服,メス堕ち,-0.04071642632883555
